object number,1kind,2UG,3UR,4UI,5UZ,6GR,7GI,8GZ,9RI,10RZ,11IZ,12UGER,13URER,14UIER,15UZER,16GRER,17GIER,18GZER,19RIER,20RZER,21IZER,22contamination?,23ugal,24g gal,25r gal,26i gal,27z gal,33gal ratio,34fdistance,37HRV
61,8,0.374,0.661,0.486,0.368,0.286,0.111,-0.007,-0.175,-0.293,-0.118,0.102,0.103,0.108,0.198,0.037,0.05,0.173,0.052,0.173,0.176,0,14.0094,12.4767,11.7715,11.3436,11.0561,0.907,0.829,809
62,6,1.96,2.409,2.816,2.695,0.449,0.856,0.735,0.407,0.286,-0.121,0.938,0.937,0.937,0.991,0.126,0.126,0.344,0.123,0.343,0.343,0,99,99,99,99,99,0.818,0.849,3565
63,6,0.809,1.361,1.41,1.69,0.552,0.602,0.881,0.049,0.329,0.28,0.175,0.174,0.176,0.201,0.042,0.049,0.109,0.046,0.107,0.111,0,14.8463,13.2905,12.4703,12.0509,11.8459,0.425,0.423,2757
64,3,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,0,99,99,99,99,99,0.918,0.531,1210
65,1,1.158,1.762,2.064,2.174,0.605,0.907,1.016,0.302,0.411,0.109,0.117,0.116,0.117,0.123,0.022,0.023,0.045,0.021,0.044,0.045,0,14.4494,13.3622,12.645,12.2632,12.0663,0.353,0.192,376
66,1,1.052,1.549,1.766,1.807,0.497,0.714,0.755,0.217,0.259,0.042,0.142,0.142,0.143,0.164,0.032,0.037,0.089,0.036,0.089,0.091,0,14.8487,13.541,13.0081,12.7272,12.6393,1,0.176,954
67,6,1.419,2.147,2.504,2.627,0.727,1.084,1.208,0.357,0.48,0.124,0.234,0.234,0.234,0.245,0.035,0.036,0.081,0.032,0.08,0.08,0,14.8265,13.5167,12.4448,11.9432,12.0254,1,0.43,2871
68,-11,0.742,1.011,1.687,1.419,0.27,0.945,0.677,0.675,0.407,-0.268,0.645,0.649,0.646,0.794,0.191,0.179,0.496,0.194,0.501,0.497,0,14.9393,13.4495,12.6509,12.2205,11.9811,0.65,0.521,3390
69,1,0.73,1.219,1.6,1.575,0.489,0.87,0.844,0.381,0.355,-0.026,0.113,0.113,0.114,0.139,0.032,0.035,0.087,0.034,0.087,0.088,0,13.0145,11.6198,10.9707,10.6121,10.4699,0.563,0.345,1414
70,6,0.919,1.208,1.488,1.68,0.289,0.568,0.761,0.28,0.472,0.192,0.132,0.132,0.134,0.167,0.038,0.042,0.109,0.044,0.109,0.111,0,15.9808,14.9679,14.5148,13.3726,14.2855,0.911,0.801,5482
71,2,1.691,2.23,2.35,2.517,0.539,0.658,0.826,0.12,0.287,0.168,0.949,0.945,0.953,1.05,0.188,0.228,0.494,0.208,0.486,0.502,0,14.1968,12.8273,12.1761,11.7982,11.5555,0.96,0.818,1158
72,1,-0.661,-0.351,0.132,-0.458,0.31,0.793,0.203,0.484,-0.107,-0.591,0.505,0.538,0.555,0.852,0.405,0.428,0.775,0.466,0.797,0.808,0,15.4406,14.4351,13.9381,13.6299,13.6268,0.686,0.835,1078
73,2,1.139,1.688,2.013,2.182,0.549,0.874,1.043,0.325,0.494,0.169,0.091,0.09,0.09,0.096,0.017,0.017,0.037,0.016,0.036,0.036,0,99,99,99,99,99,0.892,0.146,1574
74,6,-0.987,-2.128,-0.018,1.112,-1.141,0.969,2.1,2.11,3.241,1.131,1.081,1.045,1.16,1.328,0.768,0.919,1.124,0.876,1.089,1.2,0,15.5271,14.617,14.2711,14.134,13.9892,0.685,2.853,4908
75,3,1.21,1.739,2.062,2.223,0.529,0.852,1.013,0.323,0.484,0.161,0.078,0.078,0.078,0.082,0.015,0.015,0.03,0.014,0.029,0.029,0,14.0943,12.4971,11.7878,11.3539,11.1104,0.907,0.192,809
76,6,0.68,0.937,1.165,1.013,0.257,0.485,0.333,0.228,0.076,-0.152,0.308,0.31,0.319,0.444,0.111,0.133,0.337,0.139,0.339,0.347,0,16.9314,15.8915,15.8984,15.2559,15.1597,0.534,0.787,5687
77,6,0.633,1.07,1.156,1.563,0.437,0.523,0.93,0.086,0.493,0.407,0.109,0.107,0.111,0.14,0.041,0.051,0.099,0.048,0.097,0.102,0,14.9543,13.0775,12.4226,11.9094,11.8582,0.609,0.521,2569
78,2,1.446,2.3,2.758,3.147,0.855,1.312,1.701,0.457,0.847,0.389,0.045,0.045,0.045,0.046,0.009,0.009,0.012,0.007,0.011,0.011,0,14.0442,12.3348,11.3607,10.6666,10.0777,0.283,0.235,1519
79,1,0.737,1.827,2.255,2.32,1.09,1.518,1.583,0.428,0.493,0.065,0.417,0.404,0.404,0.437,0.13,0.131,0.211,0.08,0.184,0.185,0,13.7637,11.8187,10.7167,10.1938,9.7466,0.467,0.671,1172
80,2,0.946,1.111,1.298,1.398,0.164,0.351,0.452,0.187,0.288,0.1,0.136,0.137,0.139,0.18,0.039,0.047,0.124,0.048,0.125,0.127,0,14.1968,12.8273,12.1761,11.7982,11.5861,0.96,0.497,1158
81,6,1.097,1.705,2.025,2.329,0.608,0.928,1.232,0.32,0.624,0.304,0.084,0.083,0.084,0.09,0.019,0.019,0.037,0.018,0.037,0.037,0,14.2345,12.2524,11.7461,11.3074,11.0257,0.215,0.34,2232
82,6,1.285,1.962,2.309,2.595,0.678,1.024,1.31,0.347,0.633,0.286,0.246,0.245,0.245,0.251,0.038,0.038,0.067,0.034,0.064,0.065,0,15.3903,14.0954,13.372,12.9834,12.7889,0.913,0.166,5144
83,6,1.602,2.344,2.775,2.97,0.742,1.173,1.369,0.431,0.627,0.196,0.147,0.146,0.146,0.148,0.019,0.019,0.032,0.016,0.03,0.03,0,14.804,13.1378,12.3509,11.9986,11.6765,0.895,0.212,4746
84,8,0.593,0.792,1.189,1.674,0.199,0.596,1.081,0.397,0.882,0.485,0.379,0.383,0.383,0.437,0.126,0.126,0.244,0.138,0.25,0.25,0,15.6682,14.4659,14.0224,13.6647,13.636,0.875,0.438,986
85,2,0.795,1.43,1.747,1.808,0.635,0.952,1.013,0.318,0.379,0.061,0.404,0.403,0.405,0.452,0.085,0.093,0.222,0.087,0.219,0.222,0,15.439,14.2111,13.369,13.0303,12.7219,0.708,0.551,2113
86,1,-0.004,0.502,0.887,0.89,0.506,0.89,0.893,0.384,0.388,0.003,0.324,0.324,0.328,0.524,0.168,0.174,0.445,0.174,0.444,0.447,0,16.0027,14.3754,13.1712,12.6463,12.2832,0.38,0.647,663
87,1,0.079,0.378,0.923,1.459,0.299,0.844,1.38,0.546,1.081,0.536,0.34,0.352,0.354,0.454,0.184,0.188,0.34,0.21,0.353,0.355,0,13.9836,12.96,12.5896,14.3001,12.4576,0.464,0.675,1302
88,2,0.43,1.056,0.983,1.052,0.626,0.553,0.622,-0.073,-0.005,0.069,0.057,0.057,0.057,0.071,0.019,0.021,0.047,0.019,0.046,0.047,0,13.1006,11.8112,11.0495,10.5864,10.253,0.87,0.508,2412
89,1,1.64,2.386,2.833,3.044,0.745,1.193,1.404,0.447,0.658,0.211,0.113,0.113,0.113,0.115,0.017,0.017,0.029,0.014,0.027,0.027,0,14.9679,12.8877,11.9453,11.4516,11.0167,0.388,0.271,3922
