object number,1kind,2UG,3UR,4UI,5UZ,6GR,7GI,8GZ,9RI,10RZ,11IZ,12UGER,13URER,14UIER,15UZER,16GRER,17GIER,18GZER,19RIER,20RZER,21IZER,22contamination?,23ugal,24g gal,25r gal,26i gal,27z gal,33gal ratio,34fdistance,37HRV
220,2,0.864,1.058,1.172,1.304,0.194,0.308,0.44,0.114,0.246,0.132,0.081,0.082,0.083,0.115,0.022,0.026,0.084,0.027,0.084,0.086,0,18.0333,17.102,16.8363,16.6703,16.7013,0.552,0.265,4410
221,2,0.657,1.03,1.198,1.155,0.373,0.541,0.498,0.168,0.125,-0.043,0.098,0.098,0.096,0.124,0.029,0.021,0.082,0.02,0.082,0.079,0,15.6565,14.8923,14.8155,13.7323,12.0612,0.867,0.52,5264
222,1,1.267,1.874,2.199,2.522,0.607,0.932,1.254,0.325,0.648,0.323,0.061,0.061,0.061,0.064,0.013,0.013,0.024,0.012,0.024,0.024,0,14.0638,12.8093,12.2514,11.824,11.5402,0.563,0.31,1541
223,10,1.19,1.781,2.119,2.34,0.591,0.929,1.15,0.338,0.559,0.222,0.539,0.539,0.537,0.56,0.068,0.049,0.167,0.047,0.167,0.16,0,16.2877,14.8621,14.1838,14.7436,13.535,1,1.045,4995
224,3,1.036,1.338,1.51,1.667,0.302,0.474,0.63,0.173,0.329,0.156,0.158,0.158,0.157,0.179,0.03,0.019,0.089,0.023,0.09,0.087,0,17.227,16.2467,15.8001,15.7761,15.5,99,99,1740
225,1,0.794,1.372,1.713,1.889,0.578,0.919,1.095,0.341,0.517,0.176,0.277,0.276,0.276,0.278,0.034,0.033,0.047,0.025,0.041,0.04,0,18.0697,15.2298,13.9948,13.3722,12.8053,0.227,0.715,4615
226,2,1.26,1.868,2.149,2.395,0.608,0.889,1.135,0.281,0.527,0.246,0.081,0.08,0.08,0.084,0.018,0.019,0.032,0.016,0.03,0.031,0,15.2587,13.4751,12.782,12.2491,12.0451,0.361,0.207,4252
227,3,0.572,1.419,1.59,1.829,0.847,1.018,1.257,0.171,0.41,0.239,0.04,0.04,0.039,0.042,0.011,0.01,0.018,0.006,0.016,0.015,0,15.6454,14.8241,15.0305,15.0198,15.0239,0.832,0.167,4723
228,1,-0.277,-0.109,-0.164,0.025,0.169,0.113,0.303,-0.055,0.134,0.19,0.362,0.383,0.481,0.783,0.255,0.387,0.729,0.407,0.739,0.794,0,16.0173,14.0492,13.257,12.8253,15.5716,0.774,1.276,4690
229,1,1.788,2.552,2.936,3.243,0.763,1.148,1.454,0.385,0.691,0.307,0.023,0.022,0.022,0.023,0.004,0.004,0.006,0.003,0.006,0.006,0,14.0367,12.2012,11.4522,11.9501,10.7341,0.826,0.061,3195
230,4,1.399,2.316,2.76,3.252,0.917,1.36,1.853,0.443,0.936,0.493,0.138,0.137,0.137,0.14,0.02,0.02,0.031,0.016,0.029,0.029,0,14.0518,12.5139,11.7658,11.2246,10.7798,0.238,0.501,1563
231,1,1.642,2.407,2.82,3.1,0.765,1.178,1.458,0.413,0.693,0.28,0.026,0.026,0.026,0.027,0.005,0.005,0.007,0.004,0.007,0.007,0,13.3238,11.4471,10.6056,11.2935,9.7308,0.483,0.131,992
232,2,0.73,0.963,1.127,1.255,0.233,0.398,0.526,0.165,0.293,0.128,0.016,0.015,0.016,0.019,0.006,0.006,0.012,0.006,0.012,0.012,0,13.0145,11.6198,10.9707,10.5947,10.3842,0.563,0.275,1414
233,3,0.809,1.043,1.261,1.36,0.234,0.452,0.552,0.218,0.318,0.099,0.072,0.072,0.073,0.096,0.024,0.026,0.068,0.027,0.068,0.069,0,14.8714,13.7877,13.0498,12.7545,12.6638,0.665,0.243,1602
234,1,1.784,2.558,2.948,3.223,0.773,1.164,1.439,0.391,0.665,0.275,0.043,0.043,0.043,0.044,0.007,0.007,0.012,0.006,0.012,0.012,0,14.3669,12.4839,11.691,11.2508,10.8951,0.189,0.183,2041
235,1,2.149,2.715,3.11,3.152,0.566,0.96,1.003,0.395,0.437,0.043,1.911,1.911,1.909,1.927,0.106,0.08,0.268,0.07,0.266,0.256,0,16.8153,15.0817,14.1127,13.5197,13.2128,0.4,0.715,4059
236,1,0.82,1.43,1.614,1.811,0.61,0.793,0.99,0.183,0.38,0.197,0.073,0.073,0.072,0.08,0.016,0.012,0.038,0.011,0.037,0.035,0,14.8703,13.4512,12.7195,12.3306,12.013,0.81,0.085,5241
237,1,1.591,2.407,2.772,3.05,0.816,1.181,1.459,0.365,0.642,0.277,0.08,0.08,0.08,0.081,0.01,0.009,0.014,0.006,0.013,0.012,0,16.7462,14.6736,13.7526,13.2203,12.9827,0.562,0.075,2675
238,4,1.687,2.165,1.756,3.694,0.478,0.069,2.007,-0.409,1.529,1.938,0.918,0.907,1.006,0.936,0.342,0.553,0.414,0.534,0.387,0.583,0,14.1968,12.8273,12.1761,11.7982,11.5256,0.96,0.811,1158
239,2,0.954,1.454,1.74,1.915,0.5,0.785,0.961,0.285,0.461,0.175,0.174,0.174,0.172,0.187,0.035,0.026,0.076,0.023,0.076,0.072,0,14.6451,13.4002,12.8343,12.5288,12.1996,0.867,0.439,5412
240,5,0.43,0.607,0.641,0.889,0.177,0.211,0.459,0.034,0.283,0.249,0.092,0.094,0.097,0.156,0.034,0.043,0.129,0.046,0.13,0.133,0,14.5443,13.6269,13.2952,13.0168,12.9428,0.2,0.524,711
241,2,0.813,1.181,1.304,1.475,0.367,0.491,0.662,0.124,0.294,0.171,0.142,0.142,0.144,0.176,0.038,0.043,0.11,0.044,0.11,0.112,0,15.3386,14.1392,13.6753,13.4166,13.1605,0.24,0.357,2166
242,2,0.889,1.338,1.573,1.637,0.449,0.685,0.749,0.236,0.3,0.064,0.144,0.144,0.143,0.161,0.032,0.023,0.079,0.022,0.079,0.076,0,14.6451,13.4002,12.8343,12.5288,12.1996,0.794,0.521,5412
243,1,0.833,1.457,1.691,1.948,0.624,0.858,1.115,0.234,0.491,0.257,0.019,0.019,0.019,0.021,0.007,0.007,0.011,0.006,0.011,0.011,0,12.9392,11.9111,11.5579,11.3997,11.1957,0.579,0.129,1108
244,6,1.697,2.528,2.937,3.203,0.831,1.24,1.507,0.409,0.675,0.267,0.078,0.078,0.078,0.079,0.012,0.011,0.018,0.009,0.016,0.016,0,16.1576,14.6459,13.8688,13.384,13.0957,0.314,0.097,4806
245,2,75.242,75.552,75.207,76.488,0.31,-0.036,1.245,-0.345,0.936,1.281,0.984,1.006,0.947,1.262,0.432,0.268,0.876,0.339,0.9,0.834,0,99,99,99,99,99,1,0.881,3645
246,7,1.014,1.341,1.375,1.556,0.327,0.362,0.542,0.035,0.215,0.181,0.201,0.201,0.198,0.245,0.045,0.031,0.148,0.033,0.148,0.144,0,18.0721,17.1792,17.037,16.7654,16.5716,99,99,3750
247,-11,1.17,1.791,2.263,2.649,0.622,1.093,1.479,0.472,0.857,0.386,0.344,0.343,0.343,0.358,0.068,0.072,0.123,0.067,0.12,0.122,0,16.3391,14.8007,14.0971,13.7027,13.4748,0.693,0.7,3017
248,2,1.243,1.73,2.006,2.227,0.487,0.763,0.984,0.276,0.497,0.221,0.112,0.112,0.112,0.118,0.018,0.019,0.042,0.017,0.041,0.042,0,15.8954,14.3416,13.7306,13.4216,13.2418,0.75,0.143,4096
249,2,0.97,1.161,1.281,1.39,0.191,0.311,0.419,0.12,0.228,0.108,0.16,0.161,0.158,0.197,0.036,0.023,0.12,0.028,0.122,0.118,0,18.5875,17.1568,17.138,17.2999,17.0432,0.333,0.138,3605
250,1,1.072,1.646,2.053,2.246,0.573,0.98,1.174,0.407,0.601,0.194,0.254,0.254,0.254,0.264,0.042,0.041,0.082,0.038,0.081,0.08,0,14.8766,13.7598,12.6094,12.2996,12.1515,0.857,0.579,2492
251,BAD,1.233,1.766,2.08,2.198,0.533,0.846,0.965,0.314,0.432,0.119,0.074,0.074,0.074,0.078,0.014,0.015,0.03,0.014,0.03,0.03,0,13.2446,11.315,10.3973,9.9291,9.71,0.462,0.258,726
252,9,1.898,2.707,3.152,3.304,0.809,1.254,1.406,0.444,0.596,0.152,0.199,0.199,0.198,0.201,0.019,0.019,0.036,0.016,0.034,0.034,0,14.9737,12.9432,12.1007,11.677,11.4341,0.833,0.182,5008
253,10,0.978,1.57,1.848,1.956,0.591,0.87,0.977,0.279,0.386,0.107,0.114,0.114,0.114,0.124,0.02,0.014,0.051,0.014,0.051,0.049,0,15.2786,13.9901,13.3184,12.9443,12.699,0.778,0.689,5290
254,2,0.65,0.933,1.079,1.019,0.283,0.429,0.37,0.146,0.087,-0.059,0.097,0.097,0.095,0.142,0.026,0.017,0.107,0.02,0.108,0.106,0,15.1052,13.7331,13.3468,13.1716,13.3455,0.591,0.299,1529
255,2,-0.625,-0.643,-0.562,0.051,-0.019,0.063,0.675,0.082,0.694,0.613,0.426,0.424,0.412,0.444,0.147,0.11,0.198,0.098,0.192,0.165,1,17.5256,15.964,15.5651,15.3153,13.5248,0.743,0.49,1483
256,3,0.977,1.575,1.863,2.058,0.599,0.887,1.082,0.288,0.483,0.195,0.079,0.078,0.078,0.084,0.017,0.013,0.035,0.011,0.035,0.033,0,14.6946,13.1644,12.4247,12.0772,11.7475,0.77,0.153,3445
257,5,1.465,1.714,2.283,2.497,0.25,0.818,1.032,0.569,0.782,0.214,1.107,1.111,1.108,1.19,0.207,0.19,0.474,0.209,0.482,0.475,0,15.274,13.5284,12.6105,12.1158,11.6519,0.55,1.324,4554
258,2,1.166,1.456,1.659,1.784,0.29,0.494,0.619,0.203,0.328,0.125,0.117,0.117,0.115,0.148,0.03,0.022,0.095,0.021,0.095,0.093,0,14.5666,13.3391,12.9121,12.4378,12.2332,0.471,0.586,1331
259,3,0.859,1.214,1.396,1.502,0.355,0.537,0.643,0.181,0.288,0.107,0.13,0.129,0.13,0.15,0.038,0.041,0.085,0.038,0.084,0.085,0,13.4311,12.1254,11.3305,10.9344,10.6821,0.888,1.014,958
260,2,1.116,1.515,1.673,1.769,0.4,0.557,0.654,0.158,0.254,0.097,0.514,0.514,0.511,0.552,0.07,0.049,0.214,0.051,0.215,0.209,0,16.7454,15.1186,14.5443,14.309,14.1583,0.895,0.425,2833
261,1,1.064,1.721,2.363,2.672,0.657,1.299,1.608,0.642,0.951,0.309,0.032,0.032,0.032,0.033,0.007,0.006,0.01,0.004,0.009,0.008,0,99,99,99,99,99,0.444,0.119,2191
262,3,0.354,0.913,0.906,1.184,0.558,0.552,0.829,-0.006,0.271,0.278,0.056,0.055,0.058,0.078,0.022,0.028,0.059,0.027,0.058,0.061,0,15.415,13.8393,13.2166,12.8641,12.7182,0.818,0.568,3539
263,4,0.893,1.367,1.591,1.76,0.474,0.698,0.867,0.225,0.394,0.169,0.06,0.06,0.06,0.067,0.015,0.016,0.032,0.016,0.032,0.033,0,14.7588,13.0766,12.2521,11.8043,11.4478,0.586,0.39,2661
264,14,0.99,1.519,1.812,2.032,0.529,0.822,1.041,0.293,0.513,0.22,0.058,0.058,0.058,0.063,0.014,0.014,0.028,0.014,0.028,0.028,0,14.5656,13.1366,12.4085,12.0371,11.7512,0.807,0.254,3204
265,1,1.16,1.943,2.336,2.724,0.783,1.177,1.564,0.393,0.781,0.388,0.275,0.274,0.275,0.29,0.043,0.046,0.103,0.041,0.101,0.102,0,14.9626,12.9743,12.1063,11.6372,11.2986,0.387,0.434,3754
266,2,1.226,1.87,2.16,2.493,0.644,0.934,1.267,0.29,0.623,0.334,0.034,0.033,0.033,0.036,0.008,0.007,0.015,0.005,0.015,0.014,0,15.845,14.6044,13.9105,13.5626,13.3761,0.385,0.082,2022
267,2,1.246,1.877,2.149,2.442,0.631,0.903,1.195,0.272,0.565,0.292,0.086,0.086,0.086,0.092,0.016,0.016,0.037,0.016,0.036,0.037,0,14.5443,12.8913,11.9024,11.43,11.0976,0.176,0.366,838
268,3,0.318,0.632,0.687,0.89,0.313,0.369,0.572,0.055,0.258,0.203,0.01,0.01,0.01,0.012,0.004,0.004,0.008,0.004,0.007,0.007,0,13.8296,13.2083,12.6057,12.4505,12.056,0.75,0.099,3033
269,1,1.217,1.76,2.028,2.105,0.542,0.811,0.888,0.268,0.345,0.077,0.976,0.975,0.973,0.994,0.091,0.073,0.215,0.056,0.21,0.202,0,99,99,99,99,99,0.846,0.719,5206
270,2,0.915,1.373,1.553,1.63,0.458,0.638,0.716,0.18,0.258,0.078,0.09,0.089,0.088,0.103,0.022,0.017,0.057,0.015,0.056,0.054,0,15.426,14.3094,13.6343,13.346,12.9206,0.667,0.803,3566
271,2,0.896,1.084,1.169,1.275,0.189,0.274,0.38,0.085,0.191,0.106,0.013,0.012,0.012,0.015,0.004,0.003,0.009,0.003,0.009,0.008,0,13.8477,12.9985,12.5978,12.4649,12.2349,1,0.201,3810
272,1,0.973,1.367,1.58,1.751,0.393,0.607,0.777,0.214,0.384,0.171,0.053,0.053,0.053,0.062,0.012,0.013,0.035,0.013,0.035,0.035,0,13.3028,12.2424,11.5945,11.3053,11.0965,0.882,0.437,924
273,2,1.105,1.424,1.696,1.797,0.318,0.591,0.691,0.272,0.373,0.101,0.174,0.174,0.176,0.222,0.035,0.042,0.142,0.043,0.143,0.145,0,14.9235,13.487,12.7537,12.3473,11.9339,0.68,0.584,3665
274,2,0.22,0.428,0.271,0.203,0.208,0.05,-0.017,-0.157,-0.225,-0.067,0.129,0.132,0.125,0.318,0.054,0.032,0.294,0.043,0.296,0.293,0,16.0418,15.5664,15.5404,15.8133,15.7165,0.4,0.34,1448
275,1,1.117,1.61,1.936,2.069,0.493,0.819,0.952,0.326,0.459,0.133,0.072,0.072,0.072,0.079,0.015,0.015,0.036,0.014,0.036,0.036,0,12.8766,11.031,10.1831,9.7527,9.1191,0.684,0.25,943
276,7,0.571,0.821,0.956,0.765,0.249,0.385,0.193,0.136,-0.056,-0.191,0.148,0.149,0.154,0.241,0.05,0.064,0.195,0.066,0.196,0.2,0,17.1313,16.5263,16.2782,16.2124,16.1498,0.889,0.436,1500
277,3,1.183,1.693,1.91,2.245,0.51,0.727,1.062,0.217,0.552,0.335,0.225,0.225,0.226,0.249,0.036,0.042,0.114,0.042,0.114,0.116,0,15.2721,13.3138,12.4373,11.9987,11.749,0.515,0.248,4337
278,6,0.879,1.424,1.551,1.806,0.545,0.672,0.927,0.127,0.382,0.255,0.004,0.004,0.004,0.005,0.001,0.001,0.002,0.001,0.002,0.002,0,13.4435,12.2207,11.6508,11.3467,11.015,0.778,0.009,1518
279,1,1.183,1.82,2.186,2.558,0.636,1.002,1.375,0.366,0.739,0.373,0.097,0.096,0.095,0.103,0.021,0.017,0.042,0.012,0.04,0.038,0,99,99,99,99,99,0.19,0.202,2671
280,9,0.525,1.128,1.513,2.437,0.603,0.988,1.912,0.385,1.309,0.924,1.381,1.381,1.364,1.424,0.303,0.214,0.461,0.214,0.462,0.409,0,14.8282,12.909,12.0524,11.5838,11.2777,0.733,1.577,5023
281,1,1.035,1.625,1.872,2.107,0.59,0.836,1.072,0.247,0.482,0.236,0.084,0.084,0.083,0.09,0.017,0.013,0.037,0.011,0.037,0.035,0,14.0045,12.537,11.5585,11.1826,10.8022,0.343,0.524,2669
282,1,1.617,2.354,2.704,2.965,0.737,1.086,1.348,0.35,0.611,0.261,0.084,0.084,0.084,0.086,0.011,0.009,0.02,0.007,0.019,0.018,0,14.1874,12.522,11.7753,11.4623,11.0953,0.737,0.181,4109
283,1,0.926,1.53,1.852,2.079,0.604,0.926,1.153,0.322,0.549,0.227,0.101,0.101,0.101,0.107,0.021,0.021,0.041,0.019,0.04,0.04,0,15.8197,14.3908,13.8869,13.489,13.3056,0.325,0.104,3950
284,2,1.113,1.574,1.855,1.944,0.461,0.742,0.831,0.281,0.37,0.089,0.048,0.048,0.048,0.053,0.012,0.013,0.026,0.012,0.026,0.027,0,13.0145,11.6198,10.9707,10.6121,10.4699,0.563,0.371,1414
285,1,0.865,1.224,1.411,1.546,0.359,0.547,0.681,0.187,0.322,0.134,0.24,0.24,0.238,0.263,0.041,0.028,0.116,0.03,0.116,0.112,0,14.7417,13.4779,12.9074,12.6264,12.5009,0.138,0.409,1943
286,2,2.205,2.087,2.086,1.887,-0.118,-0.119,-0.318,-0.001,-0.2,-0.199,8.262,8.271,8.257,8.908,0.563,0.278,3.353,0.49,3.378,3.342,0,16.8443,14.8877,14.2416,13.8896,13.9329,0.763,0.725,388
287,1,1.554,2.29,2.674,2.946,0.736,1.12,1.392,0.384,0.656,0.272,0.127,0.127,0.127,0.129,0.015,0.011,0.027,0.009,0.026,0.024,0,16.3379,14.363,13.5093,12.9643,12.7317,0.417,0.172,5418
288,10,1.316,1.955,2.249,2.408,0.639,0.933,1.092,0.293,0.453,0.159,0.088,0.088,0.088,0.095,0.019,0.021,0.042,0.018,0.041,0.041,0,14.5275,13.5919,12.9548,12.7219,12.4575,0.8,0.277,3157
289,3,1.486,2.132,2.389,2.397,0.646,0.903,0.911,0.257,0.265,0.008,0.444,0.443,0.443,0.451,0.04,0.031,0.092,0.025,0.09,0.086,0,17.8429,16.5662,15.7577,15.5184,14.9127,0.944,0.542,4806
290,2,1.131,1.688,1.92,1.99,0.557,0.789,0.86,0.232,0.302,0.07,0.209,0.209,0.21,0.244,0.041,0.047,0.132,0.045,0.132,0.134,0,14.7222,13.3217,12.691,12.3377,12.1522,0.921,1.116,3128
291,2,0.737,1.172,1.487,1.67,0.435,0.751,0.934,0.316,0.499,0.183,0.09,0.09,0.089,0.099,0.026,0.025,0.05,0.024,0.049,0.049,0,13.8296,13.2083,12.6057,12.4505,12.056,0.833,0.686,3033
292,10,1.306,1.791,2.17,2.275,0.485,0.864,0.969,0.379,0.484,0.105,0.25,0.25,0.25,0.258,0.037,0.036,0.075,0.034,0.074,0.073,0,15.5998,13.9979,13.1235,12.7632,12.3755,0.75,0.291,4469
293,10,0.779,1.155,1.215,1.372,0.376,0.436,0.593,0.061,0.218,0.157,0.409,0.409,0.413,0.486,0.102,0.117,0.282,0.117,0.282,0.288,0,15.3118,13.817,13.233,12.8022,12.5834,0.529,0.754,2848
294,2,0.549,0.691,0.721,0.78,0.141,0.172,0.231,0.03,0.09,0.059,0.013,0.013,0.013,0.016,0.006,0.006,0.012,0.006,0.012,0.012,0,15.1863,14.6128,13.6229,13.5309,13.4377,0.117,0.051,1501
295,1,1.073,1.005,1.324,1.242,-0.068,0.251,0.169,0.319,0.237,-0.082,0.273,0.276,0.271,0.389,0.066,0.035,0.282,0.056,0.286,0.28,0,16.6633,15.424,14.7635,14.4236,14.5094,0.389,0.921,5657
296,1,1.29,1.84,2.138,2.369,0.55,0.848,1.078,0.298,0.529,0.231,0.109,0.109,0.11,0.12,0.022,0.026,0.054,0.025,0.054,0.055,0,15.3933,13.8753,13.0545,12.638,12.3596,0.632,0.182,5118
297,2,0.88,1.345,1.711,1.655,0.465,0.831,0.775,0.366,0.31,-0.056,0.102,0.102,0.103,0.132,0.025,0.026,0.088,0.026,0.088,0.088,0,13.72,12.7776,12.2719,11.9963,11.715,0.882,0.803,1021
298,3,1.604,2.406,2.823,3.121,0.803,1.22,1.517,0.417,0.714,0.297,0.079,0.078,0.078,0.08,0.012,0.012,0.02,0.01,0.019,0.019,0,16.7045,15.413,14.5792,14.1896,13.9727,0.591,0.059,2722
299,3,0.432,0.264,0.882,0.647,-0.168,0.45,0.215,0.619,0.384,-0.235,0.928,0.987,0.965,1.081,0.475,0.428,0.648,0.543,0.729,0.7,0,16.5731,15.4018,15.0397,14.7942,14.7146,0.802,1.039,5510
300,BAD,1.438,1.978,2.224,2.455,0.54,0.786,1.017,0.246,0.477,0.231,0.335,0.335,0.336,0.358,0.054,0.059,0.137,0.057,0.136,0.139,0,16.0027,14.3754,13.1712,12.6463,12.2832,0.38,0.398,663
301,2,0.599,0.745,0.799,0.827,0.146,0.2,0.227,0.054,0.081,0.028,0.034,0.034,0.033,0.041,0.01,0.007,0.025,0.007,0.025,0.024,0,15.1626,14.1483,13.6353,13.2931,12.9934,0.667,0.701,4545
302,9,1.063,1.702,2.085,2.468,0.639,1.022,1.405,0.383,0.767,0.384,0.182,0.181,0.181,0.193,0.038,0.037,0.077,0.034,0.076,0.076,0,13.4917,11.5576,10.6704,10.2385,9.9171,0.432,0.556,638
303,2,0.8,1.13,1.273,1.448,0.33,0.473,0.649,0.143,0.318,0.175,0.111,0.111,0.112,0.129,0.031,0.036,0.074,0.036,0.074,0.076,0,15.4466,13.6615,12.6714,12.1796,11.7603,0.564,0.393,4249
304,1,1.336,2.164,2.624,2.874,0.828,1.288,1.537,0.46,0.71,0.249,0.097,0.097,0.097,0.098,0.016,0.015,0.023,0.012,0.021,0.02,0,99,99,99,99,99,0.536,0.246,2120
305,10,5.316,5.656,5.949,6.202,0.341,0.633,0.886,0.293,0.546,0.253,48.445,48.445,48.445,48.446,0.144,0.093,0.388,0.11,0.392,0.377,0,15.504,14.1364,13.5925,13.3117,13.0583,0.467,0.485,3725
306,9,75.792,76.564,77.018,77.1,0.772,1.226,1.308,0.454,0.536,0.082,1.302,1.288,1.28,1.42,0.283,0.241,0.661,0.148,0.634,0.616,0,14.9068,12.8555,12.0604,11.6087,11.3976,0.783,1.001,3690
307,2,0.63,0.796,0.836,1.22,0.166,0.206,0.59,0.04,0.424,0.383,0.103,0.104,0.101,0.134,0.032,0.021,0.09,0.024,0.091,0.087,0,15.2709,14.0903,13.6126,13.399,13.249,0.783,0.42,3247
308,3,0.813,1.369,1.562,1.837,0.556,0.749,1.025,0.193,0.469,0.276,0.094,0.093,0.094,0.103,0.025,0.028,0.049,0.025,0.048,0.049,0,15.7504,13.805,13.0838,12.4938,12.2157,0.784,0.405,4921
309,1,1.852,2.821,2.517,2.56,0.968,0.665,0.708,-0.304,-0.261,0.043,0.039,0.039,0.039,0.042,0.006,0.007,0.016,0.006,0.016,0.016,1,15.8653,14.4321,13.7145,13.3385,13.214,0.933,0.602,4542
310,10,1.073,1.69,1.991,2.209,0.617,0.917,1.135,0.3,0.518,0.218,0.039,0.038,0.038,0.04,0.009,0.009,0.015,0.008,0.014,0.014,0,14.9141,13.2387,12.4009,11.9493,11.6249,0.8,0.159,4332
311,4,0.86,1.363,1.607,1.867,0.503,0.748,1.007,0.245,0.504,0.26,0.042,0.042,0.041,0.045,0.011,0.008,0.019,0.007,0.019,0.017,0,14.6451,13.4002,12.8343,12.5288,12.1996,0.867,0.145,5412
312,3,0.693,1.19,1.478,1.775,0.497,0.785,1.082,0.288,0.585,0.297,0.124,0.124,0.124,0.139,0.035,0.036,0.073,0.035,0.073,0.073,0,14.5798,12.965,12.3067,11.8282,11.6578,0.206,0.112,1955
313,1,0.823,1.552,1.944,2.034,0.729,1.121,1.211,0.392,0.482,0.09,0.303,0.301,0.301,0.332,0.068,0.07,0.155,0.061,0.152,0.152,0,15.9541,13.9979,13.1135,12.7085,12.4538,0.615,0.678,4114
314,2,1.079,1.428,1.602,1.658,0.349,0.523,0.58,0.174,0.231,0.057,0.073,0.073,0.072,0.081,0.017,0.012,0.04,0.011,0.039,0.038,0,99,99,99,99,99,1,0.054,4873
315,2,1.96,2.767,3.225,3.492,0.807,1.266,1.532,0.458,0.725,0.266,0.227,0.227,0.227,0.23,0.021,0.021,0.039,0.018,0.038,0.038,0,13.8667,12.0696,11.1609,10.6833,10.3428,0.368,0.207,927
316,4,0.721,1.037,1.226,1.359,0.317,0.506,0.638,0.189,0.322,0.133,0.052,0.052,0.052,0.064,0.015,0.016,0.04,0.016,0.04,0.04,0,15.1712,13.624,12.8361,12.3765,12.0914,0.818,0.296,5153
317,1,1.101,1.46,1.687,1.776,0.359,0.586,0.675,0.227,0.316,0.089,0.179,0.179,0.18,0.212,0.034,0.038,0.118,0.039,0.118,0.119,0,16.0674,14.5281,13.8135,13.4297,13.1218,0.295,0.264,5472
318,2,1.326,1.837,2.121,2.309,0.511,0.795,0.983,0.284,0.472,0.188,0.134,0.134,0.134,0.144,0.022,0.023,0.057,0.022,0.056,0.057,0,15.5803,13.6889,12.867,12.4115,12.2323,0.691,0.318,5649
319,2,0.857,1.251,1.412,1.563,0.394,0.555,0.706,0.161,0.312,0.151,0.053,0.052,0.051,0.058,0.014,0.011,0.028,0.009,0.028,0.026,0,16.2856,14.9536,14.2915,13.9831,13.7916,0.625,0.213,4282
320,2,0.446,0.826,0.882,1.025,0.381,0.436,0.579,0.056,0.198,0.142,0.033,0.033,0.034,0.045,0.014,0.017,0.034,0.016,0.034,0.035,0,14.2293,13.1436,12.3862,12.0679,11.7885,0.932,0.272,588
321,1,1.374,2.008,2.29,2.458,0.634,0.916,1.084,0.281,0.45,0.168,0.162,0.161,0.16,0.176,0.031,0.025,0.076,0.019,0.075,0.072,0,15.6262,13.9468,13.0484,12.6044,12.3196,0.2,0.667,5131
322,2,0.463,0.769,0.764,0.958,0.306,0.301,0.495,-0.005,0.189,0.194,0.104,0.105,0.11,0.159,0.042,0.053,0.127,0.055,0.128,0.132,0,15.0005,13.4805,12.8529,12.5074,12.3962,0.78,0.725,2547
323,2,1.08,1.739,2.115,2.421,0.659,1.035,1.341,0.376,0.682,0.306,0.058,0.058,0.058,0.06,0.012,0.01,0.02,0.008,0.019,0.018,0,15.9324,14.3066,13.4485,12.9824,12.6349,0.455,0.541,5083
324,2,0.545,0.857,0.912,1.047,0.312,0.366,0.502,0.055,0.19,0.136,0.029,0.029,0.029,0.037,0.01,0.01,0.024,0.01,0.024,0.025,0,13.9233,12.3872,11.4757,11.0193,10.7094,0.892,0.259,1574
325,2,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,0,14.9713,15.206,14.7145,15.8247,13.978,99,99,260
326,1,0.414,-0.204,0.955,3.019,-0.617,0.541,2.605,1.159,3.223,2.064,0.869,0.926,1.078,1.04,0.734,0.918,0.873,0.972,0.929,1.081,0,16.9872,16.1443,15.7436,15.5433,15.4295,0.188,1.033,3890
327,6,1.346,1.849,2.165,2.449,0.503,0.818,1.102,0.316,0.6,0.284,0.16,0.16,0.161,0.173,0.032,0.036,0.072,0.036,0.072,0.074,0,13.6532,11.5775,11.9813,10.2584,9.8928,0.71,0.332,1206
328,3,0.745,1.085,1.094,1.288,0.339,0.349,0.542,0.009,0.203,0.193,0.011,0.011,0.011,0.013,0.004,0.003,0.008,0.003,0.008,0.007,0,13.8477,12.9985,12.5978,12.4649,12.2349,1,0.339,3810
329,3,2.471,3.077,3.327,3.383,0.606,0.856,0.913,0.25,0.307,0.056,1.221,1.221,1.221,1.226,0.05,0.039,0.115,0.031,0.113,0.108,0,16.0773,14.1112,13.1038,12.6216,12.2406,0.789,0.405,5879
330,2,2.298,2.874,2.991,3.046,0.577,0.694,0.748,0.117,0.172,0.054,0.185,0.185,0.185,0.188,0.015,0.017,0.04,0.016,0.039,0.04,0,15.5114,14.3514,13.7343,13.5169,13.4019,0.514,0.485,3370
331,2,1.668,2.13,2.493,2.438,0.462,0.824,0.77,0.362,0.308,-0.054,0.501,0.501,0.501,0.516,0.056,0.055,0.134,0.052,0.134,0.133,0,16.7821,14.7399,13.9052,13.4684,13.1954,1,0.516,5900
332,2,2.093,2.672,2.641,2.618,0.579,0.547,0.525,-0.032,-0.054,-0.022,0.072,0.072,0.072,0.075,0.008,0.006,0.021,0.005,0.021,0.02,1,14.9449,13.4717,12.7279,12.7366,12.3395,0.68,0.395,1927
333,1,1.4,1.96,2.228,2.463,0.559,0.828,1.062,0.269,0.503,0.234,0.268,0.268,0.269,0.281,0.04,0.046,0.094,0.044,0.093,0.096,0,15.7865,14.1245,13.3207,12.8951,12.6463,0.5,0.41,4888
